Labor force status,Govt or private employee,Do not have a car,Need but unable to use public transport.,How likely r make effort for new job next year,Could r find equally good job,Is r likely to lose job,Expanded norc. size code,Respondents income,Race of respondent,Respondents sex,Highest year of school completed,Age of respondent,Number of children,Rs occupational prestige score (2010)
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,9,44,0,53
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, med city",$110000 or over,White,Male,14,59,3,53
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,"Suburb, med city",$22500 to 24999,White,Male,16,53,2,61
Working parttime,Private,No,No,Very likely,Not applicable,Not applicable,"City,50-250000",Under $1 000,Black,Female,11,68,0,24
Keeping house,Government,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,11,31,4,47
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"City,50-250000",$40000 to 49999,Black,Male,20,32,1,51
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$3 000 to 3 999,Black,Male,13,52,3,42
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,"City,50-250000",$10000 to 12499,Black,Male,12,63,4,29
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,12,47,3,0
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$12500 to 14999,Black,Male,11,47,2,47
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Don't know,Black,Female,8,79,4,25
Retired,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,11,86,2,0
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$25000 to 29999,Black,Female,10,45,0,25
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,14,82,1,64
"Unempl, laid off",Private,Yes,Yes,Not applicable,Not applicable,Not applicable,"City,50-250000",$1 000 to 2 999,Black,Female,15,29,4,64
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,12,23,2,31
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not too likely,"City,50-250000",$12500 to 14999,Black,Male,9,43,5,47
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$30000 to 34999,Black,Female,16,30,3,38
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,"City,50-250000",$4 000 to 4 999,Black,Female,10,38,2,28
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Male,8,50,0,28
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$40000 to 49999,White,Male,20,75,4,74
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"City,50-250000",$110000 or over,White,Female,16,44,0,53
Working parttime,Private,Yes,No,Not at all likely,Not easy,Not likely,"City,50-250000",$20000 to 22499,Black,Female,13,55,4,31
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"City,50-250000",$20000 to 22499,Black,Female,14,36,1,53
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Male,11,43,5,43
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,13,26,2,28
Working fulltime,Private,No,No,Not at all likely,Not easy,Not too likely,"City,50-250000",$30000 to 34999,White,Male,14,39,1,65
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"City,50-250000",$25000 to 29999,White,Male,16,34,0,28
Other,Government,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,2,72,3,38
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"City,50-250000",$60000 to 74999,White,Male,20,50,3,66
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,10,79,3,60
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"City,50-250000",$35000 to 39999,Black,Male,12,28,2,42
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$60000 to 74999,White,Female,14,50,1,38
Working fulltime,No answer,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"City,50-250000",No answer,White,Male,11,20,0,0
Working fulltime,Private,Yes,Yes,Somewhat likely,Very easy,Not likely,"City,50-250000",Not applicable,Black,Female,12,40,3,38
Working fulltime,Private,No,No,Somewhat likely,Very easy,Not likely,"City,50-250000",$60000 to 74999,White,Male,16,51,1,70
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$25000 to 29999,Black,Female,12,26,0,46
Working fulltime,Government,No,No,Very likely,Not applicable,Not applicable,"City,50-250000",$110000 or over,Black,Female,20,29,0,72
Working fulltime,Private,No,No,Somewhat likely,Not easy,Not too likely,"City,50-250000",$22500 to 24999,White,Female,15,29,0,39
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$30000 to 34999,White,Male,12,51,1,50
Working fulltime,Private,Yes,No,Not at all likely,Not applicable,Not applicable,"City,50-250000",$110000 or over,White,Male,12,58,0,44
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,64,0,47
Working fulltime,Private,Yes,No,No answer,No answer,No answer,"City,50-250000",Not applicable,White,Male,17,58,0,42
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$20000 to 22499,Other,Female,16,26,0,64
Working parttime,Private,Yes,No,Somewhat likely,Not applicable,Not applicable,"City,50-250000",$25000 to 29999,White,Male,11,50,1,44
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,11,81,Eight or more,24
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,14,83,0,46
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,5,65,3,31
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,25,0,48
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,14,45,3,0
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$30000 to 34999,White,Male,14,48,0,48
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$15000 to 17499,White,Female,12,28,4,51
Keeping house,Government,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,20,31,3,64
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Female,13,27,2,0
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,$10000 to 12499,Black,Female,15,23,2,21
Retired,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Female,14,71,7,0
Working parttime,Private,No,No,Somewhat likely,Not applicable,Not applicable,City gt 250000,$20000 to 22499,Black,Female,18,51,6,51
Other,Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Male,12,57,3,35
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,$15000 to 17499,Black,Female,16,50,2,47
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Fairly likely,City gt 250000,$20000 to 22499,Black,Male,9,31,2,25
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Male,14,47,0,29
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,City gt 250000,$35000 to 39999,Other,Male,13,52,2,44
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not too likely,City gt 250000,$22500 to 24999,Other,Male,12,30,3,28
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,City gt 250000,$20000 to 22499,Black,Female,16,37,2,53
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,City gt 250000,$25000 to 29999,Black,Male,14,47,2,65
School,Not applicable,No,Yes,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Other,Female,17,18,0,0
Working fulltime,Private,No,No,Somewhat likely,Somewhat easy,Not too likely,City gt 250000,$20000 to 22499,White,Female,15,36,0,32
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Male,17,69,2,60
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,City gt 250000,Not applicable,White,Male,17,39,0,41
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Female,16,67,2,43
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Male,16,77,0,42
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Female,16,60,1,53
Working fulltime,Private,No,No,Very likely,Somewhat easy,Not too likely,City gt 250000,Refused,White,Male,16,66,2,42
Working parttime,Government,No,No,Not at all likely,Very easy,Not likely,City gt 250000,$17500 to 19999,Other,Male,20,31,0,43
Keeping house,Private,Yes,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Other,Female,20,33,0,55
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Under $1 000,White,Male,16,38,1,74
Working parttime,Private,Not applicable,Not applicable,Very likely,Very easy,Not likely,City gt 250000,Not applicable,Black,Female,14,32,1,28
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,City gt 250000,$50000 to 59999,White,Male,3,40,3,44
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,City gt 250000,$35000 to 39999,White,Male,14,59,0,65
School,Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,$25000 to 29999,White,Female,19,25,0,52
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not too likely,City gt 250000,Not applicable,Black,Female,13,28,1,47
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"City,50-250000",$40000 to 49999,White,Female,19,44,0,54
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,67,2,49
Working fulltime,Private,Yes,No,Very likely,Very easy,Not too likely,"City,50-250000",$30000 to 34999,White,Male,14,44,0,28
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,14,59,2,35
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$7 000 to 7 999,White,Female,19,62,1,53
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Male,9,49,1,37
Working fulltime,Private,Yes,No,Not at all likely,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,19,27,0,68
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$50000 to 59999,White,Male,17,58,2,39
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,11,83,0,24
Working parttime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"City,50-250000",$12500 to 14999,White,Male,12,27,1,37
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$22500 to 24999,Black,Female,16,35,6,32
Working fulltime,Private,Not applicable,Not applicable,Very likely,Somewhat easy,Not likely,"City,50-250000",$30000 to 34999,Other,Female,12,53,2,32
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,78,2,47
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,20,68,0,74
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$10000 to 12499,White,Female,20,58,2,73
Working fulltime,Private,No,No,Very likely,Not applicable,Not applicable,"City,50-250000",$40000 to 49999,White,Male,18,36,0,44
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,"City,50-250000",Don't know,White,Male,20,45,2,80
School,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Male,20,43,4,80
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,17,42,0,63
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,18,85,4,51
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,16,81,2,64
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"City,50-250000",$40000 to 49999,White,Female,18,51,2,52
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,Other,Female,15,40,4,53
Working fulltime,Government,No,No,Very likely,Not applicable,Not applicable,"Suburb, med city",$25000 to 29999,Black,Male,13,27,6,34
Working fulltime,Government,No,No,Not at all likely,Somewhat easy,Not likely,"Suburb, med city",$30000 to 34999,Black,Female,13,39,3,62
